file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
103.txt	95.21	97.70	92.84	0.00	0.00	0.00	4538	107	350	0	0	188
104.txt	91.72	99.94	84.75	0.00	0.00	0.00	4658	3	838	0	0	207
105.txt	64.14	92.03	49.23	0.00	0.00	0.00	2864	248	2954	0	0	305
106.txt	98.16	99.79	96.57	0.00	0.00	0.00	479	1	17	0	0	15
107.txt	95.24	98.94	91.81	0.00	0.00	0.00	2052	22	183	0	0	65
108.txt	86.98	85.98	88.00	0.00	0.00	0.00	2632	429	359	0	0	89
109.txt	93.73	95.83	91.72	0.00	0.00	0.00	1495	65	135	0	0	28
110.txt	91.42	89.43	93.51	0.00	0.00	0.00	2665	315	185	0	0	43
111.txt	74.96	97.44	60.91	0.00	0.00	0.00	1332	35	855	0	0	62
112.txt	9.52	100.00	5.00	0.00	0.00	0.00	2	0	38	0	0	5
113.txt	89.19	97.69	82.05	0.00	0.00	0.00	8040	190	1759	0	0	349
114.txt	46.23	96.76	30.37	0.00	0.00	0.00	448	15	1027	0	0	166
115.txt	97.12	99.35	94.99	0.00	0.00	0.00	607	4	32	0	0	18
116.txt	93.66	97.35	90.23	0.00	0.00	0.00	3085	84	334	0	0	116
117.txt	98.65	100.00	97.34	0.00	0.00	0.00	3949	0	108	0	0	50
118.txt	95.75	100.00	91.84	0.00	0.00	0.00	653	0	58	0	0	35
119.txt	96.02	100.00	92.34	0.00	0.00	0.00	4483	0	372	0	0	184
120.txt	96.52	100.00	93.28	0.00	0.00	0.00	2249	0	162	0	0	121
121.txt	96.09	100.00	92.47	0.00	0.00	0.00	810	0	66	0	0	42
122.txt	95.09	100.00	90.64	0.00	0.00	0.00	339	0	35	0	0	20
123.txt	87.51	89.90	85.24	0.00	0.00	0.00	543	61	94	0	0	23
124.txt	91.29	93.78	88.94	0.00	0.00	0.00	1206	80	150	0	0	41
125.txt	82.73	77.71	88.44	0.00	0.00	0.00	1339	384	175	0	0	35
126.txt	95.11	99.95	90.72	0.00	0.00	0.00	2131	1	218	0	0	46
127.txt	93.89	99.71	88.71	0.00	0.00	0.00	5242	15	667	0	0	196
128.txt	86.87	95.65	79.57	0.00	0.00	0.00	3185	145	818	0	0	110
129.txt	97.11	99.39	94.93	0.00	0.00	0.00	1968	12	105	0	0	73
130.txt	96.38	99.58	93.37	0.00	0.00	0.00	718	3	51	0	0	21
131.txt	95.65	97.12	94.22	0.00	0.00	0.00	2331	69	143	0	0	84
