file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
103.txt	91.49	96.98	86.60	64.52	98.90	47.87	4233	132	655	90	1	98
104.txt	92.67	98.17	87.75	69.80	65.00	75.36	4823	90	673	156	84	51
105.txt	71.86	94.87	57.84	52.04	83.94	37.70	3365	182	2453	115	22	190
106.txt	99.50	99.40	99.60	93.75	88.24	100.00	494	3	2	15	2	0
107.txt	96.13	99.10	93.33	75.47	97.56	61.54	2086	19	149	40	1	25
108.txt	88.21	86.21	90.30	95.35	98.80	92.13	2701	432	290	82	1	7
109.txt	96.41	97.37	95.46	91.23	89.66	92.86	1556	42	74	26	3	2
110.txt	97.51	97.41	97.61	22.64	60.00	13.95	2782	74	68	6	4	37
111.txt	77.86	100.00	63.74	72.16	100.00	56.45	1394	0	793	35	0	27
112.txt	4.88	100.00	2.50	0.00	0.00	0.00	1	0	39	0	0	5
113.txt	90.83	99.25	83.72	74.91	100.00	59.89	8204	62	1595	209	0	140
114.txt	46.75	97.84	30.71	6.98	100.00	3.61	453	10	1022	6	0	160
115.txt	98.42	99.52	97.34	84.85	93.33	77.78	622	3	17	14	1	4
116.txt	95.42	98.78	92.28	68.93	100.00	52.59	3155	39	264	61	0	55
117.txt	99.02	99.87	98.18	87.64	100.00	78.00	3983	5	74	39	0	11
118.txt	98.14	100.00	96.34	95.52	100.00	91.43	685	0	26	32	0	3
119.txt	95.36	98.79	92.17	69.96	100.00	53.80	4475	55	380	99	0	85
120.txt	98.91	99.96	97.88	96.58	100.00	93.39	2360	1	51	113	0	8
121.txt	98.38	100.00	96.80	95.00	100.00	90.48	848	0	28	38	0	4
122.txt	97.67	100.00	95.45	94.74	100.00	90.00	357	0	17	18	0	2
123.txt	88.48	89.55	87.44	69.77	75.00	65.22	557	65	80	15	5	8
124.txt	92.41	93.77	91.08	80.00	88.24	73.17	1235	82	121	30	4	11
125.txt	85.28	82.05	88.77	48.15	68.42	37.14	1344	294	170	13	6	22
126.txt	95.81	100.00	91.95	73.97	100.00	58.70	2160	0	189	27	0	19
127.txt	94.60	99.59	90.08	76.73	100.00	62.24	5323	22	586	122	0	74
128.txt	88.32	97.61	80.64	62.50	100.00	45.45	3228	79	775	50	0	60
129.txt	98.96	99.71	98.22	92.09	96.97	87.67	2036	6	37	64	2	9
130.txt	97.74	100.00	95.58	86.49	100.00	76.19	735	0	34	16	0	5
131.txt	97.67	97.89	97.45	92.49	89.89	95.24	2411	52	63	80	9	4
132.txt	94.55	100.00	89.67	90.65	100.00	82.89	1753	0	202	63	0	13
133.txt	96.21	99.49	93.13	71.20	100.00	55.28	7732	40	570	110	0	89
134.txt	0.44	100.00	0.22	0.00	0.00	0.00	1	0	448	0	0	115
135.txt	91.06	96.28	86.37	86.49	94.12	80.00	1863	72	294	64	4	16
136.txt	96.37	99.10	93.78	81.62	99.24	69.31	7914	72	525	131	1	58
137.txt	93.56	99.47	88.32	63.49	100.00	46.51	1867	10	247	40	0	46
